"carat";"cut";"color";"clarity";"depth";"table";"price";"x";"y";"z"
1.03;"Ideal";"J";"SI1";62.3;56;3893;6.51;6.45;4.04
0.72;"Ideal";"H";"SI2";61.4;55;2112;5.81;5.78;3.56
0.32;"Ideal";"G";"VS2";61.5;57;561;4.4;4.41;2.71
1.52;"Ideal";"G";"VVS1";62.4;55;15959;7.3;7.39;4.58
1.26;"Premium";"F";"SI1";62.3;58;6915;6.89;6.84;4.28
1.19;"Very Good";"D";"VVS1";59.4;56;15767;6.95;7;4.14
0.31;"Premium";"E";"VS2";60.5;60;544;4.34;4.39;2.64
1.02;"Premium";"H";"SI1";61.1;58;5084;6.51;6.46;3.96
0.54;"Very Good";"E";"VS2";62.6;60;1426;5.26;5.19;3.27
0.3;"Ideal";"E";"IF";61.7;55;943;4.31;4.34;2.67
0.82;"Premium";"E";"SI2";60.8;60;2824;6.05;6.03;3.67
0.24;"Premium";"D";"VVS2";58.8;58;668;4.08;4.05;2.39
2.16;"Very Good";"H";"SI2";62.3;60;14824;8.19;8.31;5.14
0.75;"Very Good";"E";"VS2";63;57;3718;5.81;5.78;3.65
0.3;"Ideal";"G";"VS2";62.5;53;675;4.3;4.27;2.68
0.61;"Premium";"F";"SI2";60.9;58;1401;5.52;5.44;3.34
1.01;"Ideal";"G";"SI1";63.1;53;5430;6.36;6.42;4.03
0.54;"Ideal";"E";"VS2";61.9;55;1847;5.24;5.2;3.23
1.01;"Premium";"H";"SI2";61.3;59;4355;6.47;6.41;3.95
0.38;"Very Good";"H";"VS2";61.5;55;645;4.66;4.67;2.86
0.41;"Very Good";"H";"VS1";62.8;59;827;4.73;4.64;2.94
0.28;"Very Good";"D";"VVS1";60.4;59;642;4.23;4.25;2.56
0.91;"Premium";"D";"SI2";58.3;60;3511;6.4;6.33;3.71
0.32;"Very Good";"I";"SI2";63.1;58;480;4.41;4.34;2.76
1.5;"Ideal";"G";"SI2";61.4;56;8580;7.34;7.38;4.52
0.35;"Ideal";"E";"IF";62.2;56;1254;4.52;4.51;2.81
1.34;"Very Good";"I";"SI1";61.1;59;6763;7.05;7.12;4.33
0.9;"Premium";"F";"SI1";62.6;62;3437;6.13;6.11;3.83
0.31;"Ideal";"I";"VS2";62;54;452;4.37;4.4;2.72
1.2;"Ideal";"D";"SI1";61.8;58;7508;6.76;6.83;4.2
0.52;"Ideal";"E";"VS2";61.2;56;1689;5.16;5.23;3.18
1.02;"Very Good";"H";"SI2";60.9;58;4039;6.41;6.53;3.94
0.7;"Ideal";"G";"SI2";61.6;57;1814;5.68;5.65;3.49
0.52;"Very Good";"F";"VVS2";62.9;57;2035;5.11;5.13;3.22
0.32;"Ideal";"H";"SI1";61;56;479;4.4;4.42;2.69
0.41;"Very Good";"D";"SI1";63;56;717;4.75;4.8;3.01
0.53;"Premium";"D";"VS2";62.4;59;1783;5.14;5.18;3.22
0.33;"Premium";"E";"VS2";61.1;59;928;4.49;4.45;2.73
0.4;"Ideal";"H";"SI1";62.2;55;1031;4.72;4.76;2.95
1.16;"Premium";"F";"SI2";62.1;59;3787;6.74;6.63;4.15
1.01;"Very Good";"F";"VS1";61;58;6719;6.47;6.54;3.97
0.9;"Good";"G";"VS2";62.1;59;4054;6.02;6.16;3.78
1.14;"Ideal";"G";"VS1";62.5;56;7255;6.69;6.66;4.17
0.3;"Very Good";"E";"VS2";62.6;62;614;4.21;4.25;2.65
1.5;"Good";"J";"SI2";63.7;58;5107;7.19;7.13;4.56
1.01;"Ideal";"H";"SI1";61.2;56;5664;6.44;6.47;3.95
0.91;"Good";"D";"SI1";64;58;3730;6.09;6.06;3.89
1;"Premium";"F";"SI2";62.4;61;4155;6.34;6.32;3.95
0.3;"Premium";"H";"VS1";61;58;526;4.28;4.31;2.62
1.5;"Premium";"F";"VS2";60.9;60;13853;7.42;7.35;4.5
2.34;"Premium";"I";"SI1";61.7;60;15818;8.59;8.53;5.28
1.01;"Premium";"F";"VS2";61.3;61;6271;6.38;6.34;3.9
0.35;"Ideal";"G";"IF";61.8;56;974;4.52;4.57;2.81
1.15;"Very Good";"G";"VS2";62.9;58;6831;6.62;6.7;4.19
2.47;"Ideal";"J";"SI2";62.1;57;15430;8.64;8.57;5.34
1.08;"Very Good";"F";"SI2";62.6;56;4407;6.55;6.61;4.12
1.58;"Premium";"F";"SI2";62.3;60;9290;7.42;7.38;4.61
0.26;"Ideal";"F";"VVS1";62.7;55;814;4.1;4.07;2.56
1.06;"Ideal";"E";"SI2";62.2;55;5319;6.54;6.51;4.06
1.53;"Ideal";"I";"SI2";61.4;58;8021;7.4;7.42;4.55
0.33;"Ideal";"H";"VVS2";61.7;56;854;4.44;4.41;2.73
0.3;"Very Good";"F";"VVS1";61.6;56;694;4.34;4.36;2.68
1.21;"Ideal";"E";"VS2";62.4;54;9215;6.86;6.8;4.26
0.34;"Ideal";"G";"VS2";61.1;55;596;4.52;4.55;2.77
0.73;"Very Good";"E";"SI2";63.2;60;2335;5.76;5.71;3.62
1.53;"Ideal";"H";"SI1";62.9;60;10145;7.36;7.28;4.61
1.16;"Ideal";"G";"VVS2";62;56;8646;6.71;6.75;4.17
0.71;"Very Good";"I";"SI1";60.4;63;2028;5.8;5.73;3.48
1.5;"Very Good";"H";"SI2";62.3;60;7775;7.28;7.22;4.52
0.9;"Good";"D";"SI1";58.5;63;4469;6.21;6.3;3.66
0.32;"Ideal";"D";"VVS2";61.3;55.8;1048;4.43;4.44;2.71
0.5;"Premium";"D";"VS2";61.1;58;1752;5.09;5.12;3.12
1.93;"Premium";"H";"VS1";60.5;60;17096;8.06;7.98;4.85
0.31;"Good";"E";"SI1";63.9;56;544;4.27;4.31;2.74
1.11;"Very Good";"I";"SI2";62.5;58;4442;6.59;6.65;4.14
1.03;"Premium";"E";"SI2";61.7;61;3876;6.49;6.45;3.99
1.13;"Ideal";"G";"VS2";61.6;57;7159;6.68;6.7;4.12
0.51;"Very Good";"E";"VVS1";62.2;60;2579;5.08;5.12;3.17
0.3;"Good";"I";"SI1";63.8;57;394;4.19;4.27;2.7
0.55;"Very Good";"E";"VS2";61.7;59;1629;5.2;5.27;3.23
1.21;"Ideal";"G";"VS2";61.7;56;6478;6.85;6.83;4.22
1.08;"Premium";"F";"SI1";62.1;58;4864;6.57;6.61;4.09
0.28;"Ideal";"H";"VVS2";62;57;522;4.21;4.24;2.62
1.1;"Ideal";"E";"I1";61.9;56;3872;6.59;6.63;4.09
0.43;"Premium";"F";"SI2";60.2;60;679;4.85;4.91;2.94
0.32;"Ideal";"G";"VS1";60.5;56;645;4.42;4.44;2.68
1.4;"Very Good";"J";"SI1";63.5;58;6145;7.05;7.09;4.49
1.32;"Ideal";"G";"VS1";61.4;54;9715;7.09;7.13;4.37
0.78;"Very Good";"G";"SI1";63;58;2721;5.82;5.86;3.68
1.58;"Very Good";"H";"VVS2";60.9;58;12459;7.56;7.65;4.63
1.22;"Premium";"H";"VS1";62.5;59;7816;6.85;6.79;4.26
1.09;"Premium";"E";"SI1";62.5;59;5628;6.58;6.53;4.1
0.56;"Ideal";"D";"VS1";62.6;55;2057;5.25;5.29;3.3
0.34;"Ideal";"H";"VS2";62.6;54;537;4.45;4.5;2.8
0.31;"Ideal";"D";"VS1";62.1;56;704;4.3;4.36;2.69
0.38;"Premium";"F";"SI2";61;61;770;4.67;4.61;2.83
0.39;"Very Good";"E";"VS2";60;56;808;4.76;4.81;2.87
2.28;"Premium";"J";"VS1";60.3;58;16174;8.58;8.53;5.16
1.01;"Fair";"F";"VS2";69;61;6041;6.06;5.99;4.16
0.24;"Very Good";"F";"VVS2";62;58;552;3.95;3.98;2.46
0.51;"Premium";"D";"SI1";63;59;1574;5.11;5.05;3.2
1.57;"Very Good";"J";"VS2";62;58;8538;7.45;7.48;4.63
0.7;"Very Good";"H";"VS1";62.5;61;2453;5.62;5.67;3.53
0.35;"Ideal";"D";"VVS1";61.4;55;1672;4.55;4.57;2.8
0.43;"Very Good";"G";"VVS2";62.3;60;1056;4.78;4.85;3
2.06;"Premium";"I";"SI2";61;61;13912;8.18;8.1;5.02
0.31;"Very Good";"G";"VVS1";60.4;59;816;4.37;4.41;2.65
0.71;"Ideal";"F";"VS1";61.5;57;3404;5.7;5.74;3.52
1.02;"Premium";"D";"SI2";59.7;60;5198;6.58;6.55;3.92
0.31;"Ideal";"D";"SI1";63;54;732;4.35;4.32;2.73
0.9;"Premium";"G";"VS1";62.7;58;4661;6.06;6.15;3.83
1.05;"Ideal";"D";"SI1";60;55;5104;6.66;6.61;3.98
0.83;"Ideal";"F";"SI2";62.3;55;2790;6.02;6.05;3.76
0.5;"Ideal";"H";"VS2";62.3;55;1921;5.09;5.12;3.18
0.36;"Very Good";"G";"VS1";62.9;57;726;4.56;4.6;2.88
1;"Premium";"E";"VS2";62.8;60;6720;6.36;6.32;3.98
1.01;"Good";"F";"VVS2";63.6;60;7059;6.36;6.31;4.03
1.53;"Premium";"G";"VVS1";60.6;58;16451;7.45;7.49;4.53
2.01;"Ideal";"I";"SI1";62.9;57;12717;8.05;7.98;5.04
1.2;"Ideal";"J";"SI2";61.7;56;4659;6.79;6.87;4.21
1;"Fair";"H";"SI2";65.3;62;2818;6.34;6.12;4.08
1.25;"Very Good";"H";"VS2";60.3;54;7414;7;7.03;4.23
0.7;"Ideal";"G";"SI1";61.9;58;2310;5.69;5.72;3.53
1.03;"Premium";"J";"SI1";61.1;61;3749;6.49;6.44;3.95
0.32;"Ideal";"E";"VS1";61.9;56;972;4.41;4.38;2.72
1.06;"Ideal";"F";"IF";61.9;55;12539;6.54;6.57;4.06
0.36;"Ideal";"I";"VVS1";61.7;56;824;4.59;4.62;2.84
2.01;"Premium";"H";"SI2";61.6;58;16499;8.12;8.02;4.97
2.63;"Ideal";"J";"SI2";62.1;57;16914;8.83;8.88;5.5
0.77;"Ideal";"D";"SI1";62.6;57;2949;5.81;5.92;3.67
0.56;"Ideal";"G";"IF";62;54;2321;5.3;5.32;3.29
0.33;"Premium";"I";"SI1";60.4;59;434;4.5;4.54;2.73
0.71;"Very Good";"E";"SI1";60;56;3122;5.85;5.78;3.49
0.52;"Very Good";"E";"VS2";63.5;54;1773;5.19;5.11;3.27
0.57;"Ideal";"E";"VS1";61.5;55;2164;5.35;5.37;3.3
0.51;"Ideal";"E";"VS2";60.4;57;1656;5.15;5.18;3.12
0.53;"Ideal";"G";"VS1";61.5;57;1791;5.21;5.23;3.21
1.2;"Premium";"E";"VVS1";60.6;60;14192;6.95;6.85;4.18
0.32;"Ideal";"E";"VVS1";61.8;55;921;4.4;4.43;2.73
0.42;"Ideal";"G";"VS2";62.1;56;1087;4.84;4.79;2.99
1.16;"Ideal";"D";"SI2";62.1;54;5793;6.74;6.79;4.2
0.33;"Ideal";"H";"VS2";60.7;57;521;4.46;4.5;2.72
0.71;"Ideal";"G";"VS1";61.8;57;3431;5.69;5.73;3.53
0.9;"Very Good";"E";"SI1";63.6;57;3863;6.08;6.12;3.88
0.3;"Very Good";"H";"SI1";58.7;63;393;4.32;4.37;2.55
0.71;"Premium";"H";"VVS2";61.9;59;2498;5.73;5.7;3.54
1;"Good";"H";"SI2";57.9;62;4592;6.53;6.49;3.77
0.7;"Good";"D";"VS2";58;62;2749;5.78;5.87;3.38
1.6;"Premium";"J";"VS1";61.3;59;9032;7.52;7.49;4.6
0.3;"Ideal";"D";"VS2";62.3;54;911;4.33;4.3;2.69
2.02;"Good";"G";"SI2";57.5;61;12929;8.37;8.35;4.81
0.9;"Very Good";"E";"SI1";63.1;61;4092;6.18;6.14;3.89
1.02;"Ideal";"F";"VVS2";61.9;57;9212;6.53;6.42;4.01
0.38;"Ideal";"G";"VS2";59.5;58;721;4.75;4.77;2.83
0.72;"Ideal";"E";"SI1";62.2;58;3037;5.72;5.75;3.57
2.01;"Very Good";"E";"SI1";60.8;59;16956;8.14;8.2;4.97
2.36;"Premium";"H";"SI2";59.4;58;18745;8.69;8.75;5.18
0.73;"Ideal";"H";"SI1";62;55;2656;5.76;5.85;3.6
0.41;"Very Good";"E";"SI1";62.8;58;705;4.72;4.77;2.98
0.54;"Very Good";"G";"SI1";60.4;56;1404;5.29;5.34;3.21
0.9;"Very Good";"H";"SI2";61.1;63;3105;6.19;6.12;3.76
1.5;"Ideal";"H";"VS1";62.1;57;8891;7.37;7.23;4.53
1.7;"Premium";"I";"SI2";62.9;59;9330;7.57;7.51;4.74
2.33;"Ideal";"I";"VS2";62.4;57;15073;8.52;8.47;5.31
0.59;"Ideal";"F";"SI1";62;53;1424;5.38;5.43;3.35
1.22;"Ideal";"I";"VS1";62.3;57;6469;6.81;6.85;4.25
0.56;"Ideal";"I";"VVS1";61.5;55;1616;5.33;5.37;3.29
1.06;"Premium";"F";"SI2";62.6;59;3901;6.51;6.47;4.06
0.32;"Premium";"F";"VVS1";61.3;58;926;4.37;4.4;2.69
1.77;"Very Good";"J";"SI2";63.4;60;8257;7.65;7.61;4.84
1.52;"Good";"G";"SI2";63.1;58;7933;7.21;7.3;4.58
0.32;"Good";"E";"VS1";60.3;64;756;4.42;4.44;2.67
1.13;"Ideal";"G";"VS1";61;56.4;7808;6.7;6.75;4.1
0.54;"Premium";"E";"SI1";61.4;60;1422;5.21;5.25;3.21
1;"Premium";"F";"SI1";59.4;62;3881;6.55;6.52;3.88
1.11;"Ideal";"H";"SI2";61.3;55;4662;6.73;6.65;4.1
1.02;"Very Good";"D";"SI1";63.3;60;5778;6.33;6.38;4.02
0.8;"Premium";"F";"VS2";62;61;3369;5.99;5.91;3.69
0.31;"Ideal";"G";"IF";61.1;57;871;4.38;4.42;2.68
2.02;"Very Good";"H";"SI2";63.1;54;13655;8.09;7.99;5.07
0.44;"Premium";"E";"VS2";60.4;59;1003;4.9;4.93;2.97
1.08;"Ideal";"H";"SI1";62.8;57;4964;6.55;6.51;4.1
1.02;"Ideal";"E";"SI2";62.6;54.6;4983;6.4;6.44;4.02
1;"Good";"F";"SI1";64;57;4452;6.33;6.29;4.04
0.34;"Ideal";"E";"SI2";61.4;55;454;4.5;4.52;2.77
0.41;"Very Good";"H";"SI1";60;61;683;4.77;4.83;2.88
1.51;"Very Good";"J";"VVS2";60.6;58;8789;7.36;7.4;4.47
1.06;"Ideal";"G";"VVS2";61;57;7900;6.55;6.57;4
2.01;"Premium";"F";"SI2";59.5;59;15841;8.24;8.15;4.88
0.51;"Good";"F";"VS2";63.1;59;1444;5.04;5.1;3.2
0.3;"Premium";"D";"VS2";61.7;58;710;4.3;4.32;2.66
0.71;"Premium";"F";"SI1";59.8;61;2633;5.81;5.79;3.47
0.9;"Ideal";"H";"SI2";61;56;4016;6.23;6.29;3.82
0.52;"Ideal";"G";"VS1";62.4;56;1689;5.11;5.15;3.2
0.51;"Premium";"G";"VS1";59.6;58;1833;5.22;5.21;3.11
0.82;"Ideal";"F";"SI2";62.3;56;2867;6.02;5.96;3.73
0.97;"Ideal";"G";"SI2";61.6;56;4743;6.31;6.39;3.91
0.71;"Very Good";"E";"VS2";63.7;58;2922;5.6;5.64;3.58
0.28;"Very Good";"H";"VVS2";62.4;54;450;4.2;4.23;2.63
0.3;"Premium";"G";"VVS2";61.9;59;684;4.25;4.28;2.64
0.6;"Ideal";"D";"SI1";61.7;56;2263;5.39;5.44;3.34
0.81;"Ideal";"H";"SI2";61.4;57;2375;6;5.96;3.67
3;"Premium";"I";"SI2";60.7;59;16970;9.3;9.14;5.6
0.3;"Premium";"G";"VS1";61.8;59;605;4.34;4.37;2.69
0.31;"Ideal";"G";"IF";61.9;55;891;4.35;4.38;2.7
0.31;"Ideal";"G";"VVS1";61;56;789;4.36;4.4;2.67
0.35;"Ideal";"H";"VVS2";59.2;56;706;4.6;4.65;2.74
0.33;"Ideal";"H";"IF";62.1;54;838;4.44;4.48;2.77
0.57;"Premium";"E";"VS2";62.9;57;1672;5.29;5.24;3.31
0.9;"Fair";"E";"SI1";64.9;56;3743;6.12;6.18;3.99
0.32;"Ideal";"G";"IF";61.7;56;918;4.39;4.42;2.72
0.39;"Ideal";"E";"VVS1";60.4;56;1179;4.76;4.78;2.88
0.79;"Very Good";"E";"SI1";63.2;56;2794;5.91;5.86;3.72
0.55;"Ideal";"H";"VVS2";60.7;55;1668;5.32;5.34;3.24
2.3;"Ideal";"J";"SI1";62.3;57;12316;8.41;8.34;5.22
0.62;"Premium";"J";"VVS2";60.9;58;1415;5.5;5.56;3.37
1;"Good";"G";"SI1";61.6;62;4528;6.37;6.45;3.95
2.33;"Very Good";"H";"SI2";63.2;56;13500;8.44;8.35;5.31
0.55;"Ideal";"F";"SI2";61.4;55;1183;5.27;5.29;3.24
0.72;"Ideal";"H";"VVS1";61.5;57;3180;5.74;5.76;3.54
0.31;"Premium";"H";"VS2";61.9;58;628;4.39;4.37;2.71
0.41;"Ideal";"D";"SI1";61.6;55;1015;4.8;4.78;2.95
1.02;"Premium";"G";"VS2";62.7;61;5998;6.39;6.34;3.99
3.4;"Fair";"D";"I1";66.8;52;15964;9.42;9.34;6.27
0.82;"Good";"J";"SI1";57.4;59;2140;6.25;6.19;3.57
0.5;"Good";"F";"VS1";58;61;1415;5.18;5.23;3.02
0.73;"Ideal";"D";"SI1";61.8;56;3189;5.8;5.76;3.57
0.3;"Ideal";"G";"VS2";62;54;545;4.33;4.35;2.69
0.4;"Ideal";"H";"VVS2";62.3;57;1125;4.73;4.71;2.94
1;"Very Good";"E";"SI1";63.1;58;4435;6.34;6.2;3.95
0.38;"Ideal";"E";"VVS2";61.6;55;1100;4.67;4.72;2.89
0.33;"Premium";"F";"VS2";60.1;58;854;4.47;4.45;2.68
0.57;"Very Good";"F";"SI1";62.6;58;1403;5.28;5.32;3.32
0.44;"Ideal";"G";"VVS1";61.3;56;1202;4.91;4.93;3.01
0.55;"Premium";"D";"SI1";61.6;56;1698;5.28;5.24;3.24
0.3;"Ideal";"G";"IF";62.1;55;863;4.32;4.34;2.69
0.98;"Premium";"E";"SI2";61.7;61;4478;6.38;6.34;3.93
2;"Ideal";"H";"I1";62.5;57;7204;8.05;7.98;5.01
0.33;"Premium";"I";"VVS1";61.7;61;780;4.45;4.43;2.74
0.7;"Good";"H";"SI2";64.2;58;1697;5.56;5.6;3.58
0.33;"Good";"I";"VVS2";63.7;56;743;4.4;4.36;2.79
0.33;"Ideal";"G";"IF";61.9;55;946;4.44;4.45;2.75
0.68;"Fair";"G";"SI1";58;71;1633;5.85;5.7;3.35
0.31;"Premium";"D";"SI1";61.1;57;732;4.36;4.35;2.66
0.56;"Ideal";"D";"VS2";60.9;56;1963;5.32;5.35;3.25
1.22;"Premium";"I";"SI2";62.3;58;4831;6.8;6.85;4.25
0.91;"Ideal";"E";"SI1";60.7;56;3665;6.26;6.22;3.79
1.77;"Premium";"J";"SI2";62;55;8840;7.84;7.72;4.82
0.62;"Good";"J";"SI1";59.9;65;1116;5.58;5.5;3.32
0.52;"Premium";"G";"VS1";59.1;60;1622;5.24;5.19;3.08
0.3;"Premium";"D";"VS2";60.4;59;911;4.35;4.32;2.62
0.33;"Ideal";"G";"IF";61.6;55;984;4.48;4.51;2.77
2.34;"Premium";"I";"I1";61.5;60;8491;8.47;8.43;5.2
1.21;"Ideal";"E";"SI1";62.3;56;7088;6.87;6.81;4.26
0.77;"Ideal";"D";"SI2";62.1;56;2896;5.83;5.89;3.64
0.56;"Premium";"J";"SI1";60.3;59;1050;5.34;5.3;3.21
2.14;"Premium";"I";"VS2";62.3;58;17416;8.22;8.16;5.1
1.01;"Very Good";"G";"SI2";61;58;4249;6.43;6.48;3.94
0.32;"Ideal";"H";"VS1";62.8;55;720;4.41;4.35;2.75
0.54;"Ideal";"E";"SI1";62.1;56;1637;5.24;5.19;3.24
1.01;"Premium";"F";"VS1";58.8;60;7862;6.59;6.51;3.85
0.72;"Very Good";"E";"SI1";58.9;58;2646;5.88;5.91;3.47
0.34;"Ideal";"E";"VS1";62.2;55;1033;4.52;4.49;2.8
0.54;"Ideal";"H";"VS1";62.7;57;1637;5.23;5.17;3.26
1.12;"Ideal";"H";"SI1";60.7;56;5457;6.74;6.7;4.08
1.13;"Premium";"H";"SI1";62.6;60;4256;6.68;6.62;4.16
1.01;"Very Good";"E";"VVS2";63.3;58;8912;6.39;6.31;4.02
1;"Very Good";"G";"SI2";62.6;58;4725;6.34;6.38;3.98
0.38;"Ideal";"I";"VVS2";63.4;53;809;4.61;4.63;2.93
0.38;"Very Good";"H";"VS2";62.8;56;700;4.59;4.62;2.89
1.16;"Premium";"G";"VS1";61.9;58;7962;6.72;6.76;4.17
0.4;"Ideal";"D";"VS1";59.9;57;1123;4.77;4.82;2.87
0.3;"Ideal";"H";"VVS1";62.3;57;665;4.27;4.3;2.67
1.2;"Premium";"G";"VS2";62.5;58;9677;6.74;6.67;4.19
0.5;"Premium";"F";"VVS2";63;57;2160;5.05;5.01;3.17
0.6;"Ideal";"H";"VS2";62.1;55;1442;5.42;5.46;3.38
0.43;"Good";"G";"SI1";63.6;55;903;4.83;4.79;3.06
1.36;"Ideal";"F";"SI2";62;56;7157;7.08;7.11;4.4
0.57;"Premium";"E";"VS2";61.4;58;1949;5.37;5.32;3.28
2;"Very Good";"H";"SI1";60.3;61;16092;8.11;8.17;4.91
0.76;"Ideal";"D";"VS2";60.2;56;3352;5.92;5.95;3.57
0.36;"Ideal";"H";"IF";62.2;54.1;877;4.57;4.6;2.86
1.01;"Fair";"G";"SI2";68.5;63;3173;6.08;6;4.14
0.38;"Good";"D";"VS2";64.1;55;809;4.58;4.62;2.95
0.58;"Very Good";"H";"VVS1";63.3;55;1979;5.27;5.31;3.35
1.2;"Very Good";"G";"SI2";61.7;59;5518;6.81;6.86;4.22
0.4;"Ideal";"G";"VS1";62.2;56;1125;4.74;4.72;2.94
0.3;"Ideal";"F";"VVS1";61.5;56;1041;4.32;4.36;2.67
1;"Premium";"F";"SI2";61.5;58;4255;6.38;6.41;3.93
1.04;"Premium";"F";"SI1";62.2;60;5300;6.48;6.44;4.02
0.27;"Ideal";"G";"VS1";62.3;53;527;4.16;4.19;2.6
1.61;"Very Good";"E";"SI2";61.9;57;8288;7.44;7.48;4.62
0.42;"Ideal";"E";"VS2";61.3;56;1024;4.85;4.81;2.96
0.33;"Ideal";"H";"SI1";61;55;511;4.45;4.49;2.73
2.01;"Good";"I";"SI1";64.1;60;10184;7.92;7.88;5.06
1.26;"Ideal";"G";"VS2";60.8;55;9399;7.02;7.04;4.28
1.52;"Very Good";"G";"VVS2";62.9;59;15265;7.25;7.29;4.57
