orderID,activity,endtime,starttime,resource
C72,place order,2015-01-15 17:35:13+00:00,2015-01-15 17:30:33+00:00,FGXWW
C73,place order,2015-01-15 19:26:03+00:00,2015-01-15 19:19:13+00:00,EMEYV
C48,send invoice,2015-01-15 19:24:09+00:00,2015-01-15 19:20:23+00:00,SMSNY
C39,send invoice,2015-01-15 19:51:21+00:00,2015-01-15 19:43:01+00:00,BALPA
C74,place order,2015-01-15 22:18:34+00:00,2015-01-15 22:14:41+00:00,HLJOP
C75,place order,2015-01-16 08:47:26+00:00,2015-01-16 08:17:36+00:00,VXRUO
C51,send invoice,2015-01-16 09:10:39+00:00,2015-01-16 09:03:01+00:00,LYVGB
C76,place order,2015-01-16 10:19:12+00:00,2015-01-16 10:14:32+00:00,KYICA
C61,send invoice,2015-01-16 11:53:14+00:00,2015-01-16 11:46:02+00:00,BALPA
C77,place order,2015-01-16 12:10:09+00:00,2015-01-16 11:47:11+00:00,UTBDH
C25,send reminder,2015-01-16 13:27:43+00:00,2015-01-16 12:43:45+00:00,FWWWF
C65,send invoice,2015-01-16 13:49:11+00:00,2015-01-16 13:47:11+00:00,FWWWF
C78,place order,2015-01-16 14:32:52+00:00,2015-01-16 13:52:29+00:00,EXXRY
C64,send invoice,2015-01-16 15:05:02+00:00,2015-01-16 14:54:43+00:00,EMEYV
C59,send invoice,2015-01-16 15:04:28+00:00,2015-01-16 14:58:25+00:00,HLJOP
C69,send invoice,2015-01-16 15:23:28+00:00,2015-01-16 15:09:39+00:00,VNOHU
C72,send invoice,2015-01-16 15:38:08+00:00,2015-01-16 15:32:33+00:00,VNOHU
C79,place order,2015-01-16 16:14:21+00:00,2015-01-16 16:03:05+00:00,EXXRY
C4,pay,2015-01-16 16:18:59+00:00,2015-01-16 16:15:02+00:00,BALPA
C23,send reminder,2015-01-16 16:50:56+00:00,2015-01-16 16:31:56+00:00,KXHUV
C12,pay,2015-01-16 17:02:17+00:00,2015-01-16 16:52:44+00:00,RLTSN
C18,send reminder,2015-01-16 17:24:40+00:00,2015-01-16 17:04:07+00:00,HLJOP
C10,send reminder,2015-01-16 17:53:41+00:00,2015-01-16 17:21:54+00:00,UTBDH
C80,place order,2015-01-16 20:58:52+00:00,2015-01-16 17:24:17+00:00,UYDRD
C78,send invoice,2015-01-16 17:42:42+00:00,2015-01-16 17:35:01+00:00,KXHUV
C75,send invoice,2015-01-16 22:27:59+00:00,2015-01-16 18:04:40+00:00,RWVYG
C57,send invoice,2015-01-16 18:31:40+00:00,2015-01-16 18:23:40+00:00,VNOHU
C81,place order,2015-01-16 19:13:31+00:00,2015-01-16 19:06:42+00:00,VXRUO
C82,place order,2015-01-16 22:04:04+00:00,2015-01-16 21:49:38+00:00,KYICA
C40,send invoice,2015-01-16 22:59:34+00:00,2015-01-16 22:54:06+00:00,FWWWF
C83,place order,2015-01-17 14:48:02+00:00,2015-01-17 14:41:00+00:00,FGXWW
C84,place order,2015-01-18 15:04:20+00:00,2015-01-18 14:59:12+00:00,KXHUV
C15,pay,2015-01-19 06:36:13+00:00,2015-01-19 06:31:58+00:00,EXXRY
C85,place order,2015-01-19 08:00:55+00:00,2015-01-19 07:53:36+00:00,DTZWY
C43,send invoice,2015-01-19 09:02:51+00:00,2015-01-19 08:58:59+00:00,DTZWY
C2,pay,2015-01-19 10:08:51+00:00,2015-01-19 10:01:39+00:00,EXXRY
C86,place order,2015-01-19 10:46:32+00:00,2015-01-19 10:41:05+00:00,FWWWF
C53,send invoice,2015-01-19 11:08:45+00:00,2015-01-19 11:03:35+00:00,HLJOP
C60,send invoice,2015-01-19 11:07:06+00:00,2015-01-19 11:05:02+00:00,LYVGB
C37,send reminder,2015-01-19 11:40:10+00:00,2015-01-19 11:17:18+00:00,RLTSN
C30,send reminder,2015-01-19 11:39:32+00:00,2015-01-19 11:22:52+00:00,DTZWY
C19,pay,2015-01-19 11:39:02+00:00,2015-01-19 11:33:09+00:00,RWVYG
C73,send invoice,2015-01-19 11:53:17+00:00,2015-01-19 11:45:39+00:00,DTZWY
C87,place order,2015-01-19 12:46:26+00:00,2015-01-19 12:40:17+00:00,DTZWY
C3,pay,2015-01-19 13:15:41+00:00,2015-01-19 13:09:13+00:00,DTZWY
C55,send invoice,2015-01-19 14:22:16+00:00,2015-01-19 14:12:47+00:00,LYVGB
C88,place order,2015-01-19 14:51:50+00:00,2015-01-19 14:38:42+00:00,LYVGB
C54,send invoice,2015-01-19 15:00:56+00:00,2015-01-19 14:53:37+00:00,RWVYG
C34,send reminder,2015-01-19 16:50:36+00:00,2015-01-19 16:28:50+00:00,VNOHU
C89,place order,2015-01-19 16:47:13+00:00,2015-01-19 16:35:31+00:00,VNOHU
C11,pay,2015-01-19 16:47:24+00:00,2015-01-19 16:43:19+00:00,VXRUO
C24,send reminder,2015-01-19 18:08:47+00:00,2015-01-19 17:41:30+00:00,LYVGB
C23,pay,2015-01-19 18:19:16+00:00,2015-01-19 18:14:51+00:00,FWWWF
C90,place order,2015-01-19 18:34:38+00:00,2015-01-19 18:29:09+00:00,UTBDH
C91,place order,2015-01-19 21:12:15+00:00,2015-01-19 21:03:41+00:00,SMSNY
C92,place order,2015-01-20 06:28:20+00:00,2015-01-20 02:23:19+00:00,EMEYV
C70,send invoice,2015-01-20 09:19:43+00:00,2015-01-20 09:13:06+00:00,DTZWY
C93,place order,2015-01-20 09:43:12+00:00,2015-01-20 09:37:46+00:00,UTBDH
C5,pay,2015-01-20 10:27:04+00:00,2015-01-20 10:20:47+00:00,RWVYG
C67,send invoice,2015-01-20 10:27:09+00:00,2015-01-20 10:22:00+00:00,EXXRY
C63,send invoice,2015-01-20 11:16:41+00:00,2015-01-20 11:10:38+00:00,LYVGB
C94,place order,2015-01-20 11:46:05+00:00,2015-01-20 11:33:39+00:00,UTBDH
C83,send invoice,2015-01-20 12:27:47+00:00,2015-01-20 12:21:39+00:00,EMEYV
C95,place order,2015-01-20 13:32:51+00:00,2015-01-20 13:25:25+00:00,RCEUC
C86,send invoice,2015-01-20 15:02:19+00:00,2015-01-20 14:54:36+00:00,RCEUC
C96,place order,2015-01-20 15:35:08+00:00,2015-01-20 15:08:57+00:00,VNOHU
C84,send invoice,2015-01-20 15:32:40+00:00,2015-01-20 15:26:12+00:00,KXHUV
C35,send reminder,2015-01-20 15:52:06+00:00,2015-01-20 15:34:41+00:00,UTBDH
C77,send invoice,2015-01-20 15:57:12+00:00,2015-01-20 15:47:55+00:00,RCEUC
C12,prepare delivery,2015-01-20 16:20:56+00:00,2015-01-20 16:13:11+00:00,RLTSN
C2,prepare delivery,2015-01-20 16:31:43+00:00,2015-01-20 16:28:07+00:00,EXXRY
C97,place order,2015-01-20 21:18:16+00:00,2015-01-20 16:36:02+00:00,SMSNY
C9,send reminder,2015-01-20 17:20:40+00:00,2015-01-20 17:04:44+00:00,VXRUO
C16,pay,2015-01-20 17:32:10+00:00,2015-01-20 17:19:52+00:00,RLTSN
C22,send reminder,2015-01-20 18:50:55+00:00,2015-01-20 18:09:49+00:00,VXRUO
C46,send reminder,2015-01-20 18:59:32+00:00,2015-01-20 18:17:29+00:00,EXXRY
C98,place order,2015-01-20 18:39:10+00:00,2015-01-20 18:30:11+00:00,HLJOP
C62,send invoice,2015-01-20 19:03:18+00:00,2015-01-20 18:55:20+00:00,EXXRY
C89,send invoice,2015-01-20 19:09:18+00:00,2015-01-20 19:04:01+00:00,KXHUV
C74,send invoice,2015-01-20 19:49:43+00:00,2015-01-20 19:44:16+00:00,VNOHU
C99,place order,2015-01-20 21:38:47+00:00,2015-01-20 21:06:47+00:00,UYDRD
C82,send invoice,2015-01-20 21:51:15+00:00,2015-01-20 21:45:18+00:00,HLJOP
C29,pay,2015-01-20 23:29:17+00:00,2015-01-20 23:22:08+00:00,EQRLD
C100,place order,2015-01-21 02:48:39+00:00,2015-01-21 02:41:54+00:00,UYDRD
C91,send invoice,2015-01-21 09:01:39+00:00,2015-01-21 08:57:04+00:00,VNOHU
C18,pay,2015-01-21 09:28:34+00:00,2015-01-21 09:21:51+00:00,EMEYV
C6,pay,2015-01-21 09:58:00+00:00,2015-01-21 09:53:10+00:00,EQRLD
C101,place order,2015-01-21 14:54:45+00:00,2015-01-21 09:58:13+00:00,KYICA
C88,send invoice,2015-01-21 10:09:07+00:00,2015-01-21 10:00:19+00:00,RLTSN
C1,prepare delivery,2015-01-21 11:07:49+00:00,2015-01-21 11:04:09+00:00,HLJOP
C66,send invoice,2015-01-21 11:40:51+00:00,2015-01-21 11:24:07+00:00,RCEUC
C31,send reminder,2015-01-21 11:54:15+00:00,2015-01-21 11:41:52+00:00,RCEUC
C25,pay,2015-01-21 12:01:25+00:00,2015-01-21 11:52:42+00:00,EXXRY
C102,place order,2015-01-21 12:19:26+00:00,2015-01-21 12:14:33+00:00,DTZWY
C68,send invoice,2015-01-21 12:56:22+00:00,2015-01-21 12:49:50+00:00,LYVGB
C28,pay,2015-01-21 13:51:49+00:00,2015-01-21 13:46:46+00:00,VNOHU
C103,place order,2015-01-21 13:51:22+00:00,2015-01-21 13:47:13+00:00,RCEUC
C27,send reminder,2015-01-21 14:23:37+00:00,2015-01-21 13:59:42+00:00,FWWWF
C12,make delivery,2015-01-21 14:56:10+00:00,2015-01-21 14:41:10+00:00,RWVYG
C19,prepare delivery,2015-01-21 15:46:21+00:00,2015-01-21 15:38:44+00:00,RWVYG
C33,send reminder,2015-01-21 15:56:05+00:00,2015-01-21 15:45:49+00:00,KXHUV
C38,send reminder,2015-01-21 16:11:42+00:00,2015-01-21 15:51:54+00:00,KXHUV
C104,place order,2015-01-21 15:57:42+00:00,2015-01-21 15:52:34+00:00,RLTSN
C2,make delivery,2015-01-21 17:16:07+00:00,2015-01-21 16:21:00+00:00,VXRUO
C80,send invoice,2015-01-21 16:32:16+00:00,2015-01-21 16:22:30+00:00,RCEUC
C37,pay,2015-01-21 19:13:29+00:00,2015-01-21 16:34:02+00:00,RCEUC
C58,send reminder,2015-01-21 17:10:54+00:00,2015-01-21 16:47:02+00:00,RLTSN
C85,send invoice,2015-01-21 16:57:06+00:00,2015-01-21 16:52:36+00:00,EXXRY
C95,send invoice,2015-01-21 17:28:50+00:00,2015-01-21 17:24:12+00:00,VNOHU
C76,send invoice,2015-01-21 18:06:45+00:00,2015-01-21 18:00:46+00:00,EXXRY
C105,place order,2015-01-21 18:09:12+00:00,2015-01-21 18:03:15+00:00,EMEYV
C17,pay,2015-01-21 18:16:35+00:00,2015-01-21 18:12:03+00:00,DTZWY
C100,send invoice,2015-01-21 18:25:37+00:00,2015-01-21 18:21:10+00:00,UYDRD
C52,send reminder,2015-01-21 18:33:38+00:00,2015-01-21 18:23:47+00:00,SMSNY
C15,prepare delivery,2015-01-21 19:10:23+00:00,2015-01-21 19:03:17+00:00,UTBDH
C106,place order,2015-01-21 19:58:59+00:00,2015-01-21 19:45:59+00:00,UYDRD
C7,send reminder,2015-01-21 21:41:07+00:00,2015-01-21 21:28:47+00:00,EXXRY
C107,place order,2015-01-21 23:19:19+00:00,2015-01-21 23:08:13+00:00,RLTSN
C32,pay,2015-01-22 09:09:29+00:00,2015-01-22 08:50:56+00:00,RCEUC
C108,place order,2015-01-22 09:02:17+00:00,2015-01-22 08:58:06+00:00,RLTSN
C14,send reminder,2015-01-22 09:22:56+00:00,2015-01-22 08:59:23+00:00,EQRLD
C18,prepare delivery,2015-01-22 09:25:40+00:00,2015-01-22 09:18:36+00:00,ZBEXO
C43,pay,2015-01-22 09:39:41+00:00,2015-01-22 09:34:10+00:00,EQRLD
C5,prepare delivery,2015-01-22 09:54:44+00:00,2015-01-22 09:47:38+00:00,LYVGB
C1,make delivery,2015-01-22 11:09:40+00:00,2015-01-22 09:51:47+00:00,RLTSN
C41,send reminder,2015-01-22 11:03:19+00:00,2015-01-22 10:44:30+00:00,RCEUC
C109,place order,2015-01-22 13:12:43+00:00,2015-01-22 11:15:16+00:00,KXHUV
C8,pay,2015-01-22 11:36:30+00:00,2015-01-22 11:30:09+00:00,SMSNY
C99,send invoice,2015-01-22 12:12:27+00:00,2015-01-22 12:08:11+00:00,VNOHU
C13,send reminder,2015-01-22 12:38:14+00:00,2015-01-22 12:11:20+00:00,SMSNY
C90,send invoice,2015-01-22 12:33:08+00:00,2015-01-22 12:22:08+00:00,VNOHU
C1,confirm payment,2015-01-22 12:35:56+00:00,2015-01-22 12:31:22+00:00,ZBEXO
C110,place order,2015-01-22 17:31:28+00:00,2015-01-22 12:48:39+00:00,RCEUC
C19,make delivery,2015-01-22 13:26:25+00:00,2015-01-22 12:50:28+00:00,EXXRY
C26,pay,2015-01-22 13:36:12+00:00,2015-01-22 13:20:21+00:00,UYDRD
C7,cancel order,2015-01-22 14:18:35+00:00,2015-01-22 13:51:24+00:00,HLJOP
C12,confirm payment,2015-01-22 14:04:25+00:00,2015-01-22 13:59:17+00:00,RLTSN
C101,send invoice,2015-01-22 14:07:28+00:00,2015-01-22 14:02:50+00:00,DTZWY
C111,place order,2015-01-22 15:02:48+00:00,2015-01-22 14:55:25+00:00,VNOHU
C2,confirm payment,2015-01-22 15:23:33+00:00,2015-01-22 15:15:20+00:00,RCEUC
C15,confirm payment,2015-01-22 15:48:46+00:00,2015-01-22 15:39:55+00:00,FWWWF
C46,pay,2015-01-22 16:29:31+00:00,2015-01-22 16:22:23+00:00,VXRUO
C20,send reminder,2015-01-22 16:48:08+00:00,2015-01-22 16:26:04+00:00,ZBEXO
C112,place order,2015-01-22 17:14:26+00:00,2015-01-22 17:08:57+00:00,UTBDH
C21,send reminder,2015-01-22 17:31:10+00:00,2015-01-22 17:09:50+00:00,UTBDH
C49,pay,2015-01-22 21:20:25+00:00,2015-01-22 17:33:07+00:00,BALPA
C19,confirm payment,2015-01-22 17:42:21+00:00,2015-01-22 17:37:00+00:00,VXRUO
C113,place order,2015-01-22 21:13:49+00:00,2015-01-22 18:36:02+00:00,UYDRD
C51,send reminder,2015-01-22 19:19:35+00:00,2015-01-22 19:07:58+00:00,LYVGB
C18,make delivery,2015-01-22 19:29:18+00:00,2015-01-22 19:12:57+00:00,VNOHU
C15,make delivery,2015-01-22 21:32:41+00:00,2015-01-22 20:42:44+00:00,FGXWW
C39,send reminder,2015-01-22 21:30:36+00:00,2015-01-22 21:07:49+00:00,VNOHU
C114,place order,2015-01-22 21:27:50+00:00,2015-01-22 21:24:20+00:00,RWVYG
C115,place order,2015-01-23 04:37:48+00:00,2015-01-23 04:27:12+00:00,RCEUC
C61,send reminder,2015-01-23 10:19:07+00:00,2015-01-23 09:45:05+00:00,VXRUO
C116,place order,2015-01-23 10:08:22+00:00,2015-01-23 09:54:03+00:00,SMSNY
C48,send reminder,2015-01-23 10:43:31+00:00,2015-01-23 10:04:22+00:00,RLTSN
C36,pay,2015-01-23 10:15:52+00:00,2015-01-23 10:10:56+00:00,DTZWY
C81,send invoice,2015-01-23 11:30:28+00:00,2015-01-23 11:26:43+00:00,DTZWY
C5,make delivery,2015-01-23 11:51:43+00:00,2015-01-23 11:39:48+00:00,FWWWF
C33,pay,2015-01-23 11:52:04+00:00,2015-01-23 11:46:05+00:00,ZBEXO
C97,send invoice,2015-01-23 12:00:18+00:00,2015-01-23 11:50:42+00:00,UTBDH
C96,send invoice,2015-01-23 12:08:19+00:00,2015-01-23 12:02:13+00:00,RLTSN
C117,place order,2015-01-23 12:11:19+00:00,2015-01-23 12:06:13+00:00,KXHUV
C59,send reminder,2015-01-23 12:29:03+00:00,2015-01-23 12:19:01+00:00,RWVYG
C29,prepare delivery,2015-01-23 14:45:49+00:00,2015-01-23 12:21:07+00:00,DTZWY
C13,pay,2015-01-23 12:28:12+00:00,2015-01-23 12:22:24+00:00,ZBEXO
C79,send invoice,2015-01-23 12:33:48+00:00,2015-01-23 12:26:49+00:00,RLTSN
C118,place order,2015-01-23 13:36:41+00:00,2015-01-23 13:30:33+00:00,VNOHU
